condid,siteindex,site_baseage,stand_age,ba,df_ba,tpa,bdft,tcuft,topht,df_pctba,siteclass,qmd
22960615010497,100,100,55,249.521285,221.5882382,215.5685449,27428.44164,9455.701243,109.4444444,9455.701243,4,14.56791524
22960617010497,75,100,100,265.4812779,239.9764175,219.4579935,31015.53315,8916.42358,110.75,8916.42358,5,14.89284089
22960626010497,89,100,350,235.7014445,171.1444575,138.5915495,62010.38442,11768.86341,198.2142857,11768.86341,5,17.65830642
22960638010497,144,100,1,3.244218777,3.244218777,6.069104275,173.5578594,73.97341705,60,73.97341705,3,9.899860364
22960646010497,140,100,40,135.3674795,93.69132198,39.14344272,22129.25541,5177.119344,127.1428571,5177.119344,3,25.1804776
22960649010497,140,100,31,15.71604067,15.71604067,12.05447646,1748.588778,472.4410426,81.5,472.4410426,3,15.46086177
22960650010497,121,100,45,214.8903394,164.1378637,211.6437229,30699.60019,7683.187853,97.54166667,7683.187853,4,13.64401071
22960673010497,119,100,41,206.1446554,194.1029825,174.2771913,20368.18885,7232.02447,87.66666667,7232.02447,4,14.72658558
22960683010497,94,100,27,111.2732559,65.7512862,402.8396109,7944.813194,2613.532973,63.04761905,2613.532973,5,7.116486271
22960687010497,119,100,60,228.4343496,166.1817705,271.1513145,36830.80722,9177.357113,104.7083333,9177.357113,4,12.42828345
22960693010497,127,100,21,149.647418,149.647418,224.7418966,7546.737734,3452.651732,56.56756757,3452.651732,3,11.04915065
22960697010497,77,100,170,241.1366637,142.7597045,217.2494602,39363.67985,10205.32046,153.5,10205.32046,5,14.26555172
22960705010497,138,100,65,235.4531461,171.0979866,55.53312083,40561.95772,10774.98028,153.75,10774.98028,3,27.88126733
22960716010497,114,100,18,44.17887448,43.12316352,309.0204358,418.4998556,581.1394814,39.7037037,581.1394814,4,5.119764979
22960719010497,103,100,120,327.1603688,251.3003137,146.385644,71533.24913,14376.74136,144.173913,14376.74136,4,20.2426517
22960727010497,126,100,27,97.21621023,92.54685123,201.9322123,8752.636099,2740.645027,72.35,2740.645027,3,9.395131082
22960735010497,117,100,34,156.3720303,88.34833989,471.4449537,6625.078801,3448.066964,66.09375,3448.066964,4,7.798307276
22960742010497,107,100,22,101.5119978,93.15845832,438.1744104,358.5756361,1477.036605,45.55737705,1477.036605,4,6.517356596
22960781010497,119,100,65,9.936148695,9.936148695,0.999188,1890.802645,372.7827194,137,372.7827194,4,42.69939662
22960788010497,88,100,3,6.455233719,6.455233719,1.017860085,,278.6078776,,278.6078776,5,34.09951841
22960789010497,63,100,200,163.7937716,123.6763307,229.141432,21607.86961,5797.470389,109.6666667,5797.470389,5,11.44809388
22960797010497,88,100,120,79.82567133,78.39930262,80.46987223,13955.21654,3209.663638,105.5714286,3209.663638,5,13.48624161
22960800010497,107,100,30,242.7883044,72.05604261,970.819513,6333.530563,4509.950104,53.79411765,4509.950104,4,6.771438439
22960802010497,130,100,20,56.78127488,56.78127488,109.243877,1584.059297,980.3875616,46.5,980.3875616,3,9.762034076
22960803010497,92,100,250,351.4685054,195.6348062,229.5722101,65951.76426,14388.15217,162.1666667,14388.15217,5,16.75405171
22960813010497,118,100,55,5.554516849,5.554516849,1.00080573,599.6354781,151.0041275,91,151.0041275,4,31.89954985
22960814010497,97,100,15,110.1871201,52.94588964,1270.557238,1510.544488,2718.021505,35.78571429,2718.021505,4,3.987535851
22960826010497,101,100,45,44.5275225,44.5275225,30.13619116,5105.634293,1342.63763,82,1342.63763,4,16.45911148
