"CaseID","Stand_CN","StandID","MgmtID","RunTitle","KeywordFile","SamplingWt","Variant","Version","RV","Groups","RunDateTime"
"2cb84a33-1170-4820-a235-511a6c135ed1","","1201341060403900898280001","NONE","Stand 1201341060403900898280001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:24:21"
"2cbaf0ca-361a-42fd-abf9-6dd0c3a3dd69","","1200753050607300526010001","NONE","Stand 1200753050607300526010001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:17:59"
"2cc2d0d3-0266-427b-a272-33a1604233d9","","1201353020304500565770001","NONE","Stand 1201353020304500565770001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:25:11"
"2cc2e4d1-187b-4ce0-a06e-664562776f35","","1201441020403900636510001","NONE","Stand 1201441020403900636510001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:26:53"
"2cc39fa3-3c2b-432c-a4ae-54f432744af6","","1201141020103900672960001","NONE","Stand 1201141020103900672960001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:51:18"
"2cc837c7-ebb7-4d87-a15d-41abecdcceb5","","1201053011005900674960001","NONE","Stand 1201053011005900674960001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:50:08"
"2ccb5931-1c3c-4340-84b2-07a366eb1f06","","1201553060405700750400001","NONE","Stand 1201553060405700750400001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-16:03:04"
"2cd020b0-6b2e-4303-a65e-7f0233162302","","1201141060203900989700001","NONE","Stand 1201141060203900989700001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:51:56"
"2cd1e9e7-f40a-4c00-a6ab-4a366c453227","","1201541020500500540430002","NONE","Stand 1201541020500500540430002 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-16:00:28"
"2ce75894-911b-40f3-8501-cd672705c014","","1201541060602900846020001","NONE","Stand 1201541060602900846020001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-16:01:51"
"2ceab32f-219c-4a8c-a7eb-bdedf6f65b57","","1200941010901900760710001","NONE","Stand 1200941010901900760710001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:46:13"
"2cec85e9-ee8d-4976-8027-4ae8de922ea2","","1201441060502900905130001","NONE","Stand 1201441060502900905130001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:59:04"
"2cef379b-15cf-4fd6-8039-42c560c96112","","1201541060605700921350002","NONE","Stand 1201541060605700921350002 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:31:45"
"2cf1ba26-9383-476d-a283-7e478ef3f8d6","","1200841010802900701210001","NONE","Stand 1200841010802900701210001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:43:48"
"2cfc0e95-d2c4-4eb1-86cb-57f5359c828b","","1201453060306100769000002","NONE","Stand 1201453060306100769000002 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-16:00:19"
"2cff81f2-4464-48d5-a1d4-4901c581a4a7","","1201253060102700733440001","NONE","Stand 1201253060102700733440001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:22:58"
"2d037686-36f0-4f31-aa37-b3113f258f43","","1200841050803900965310002","NONE","Stand 1200841050803900965310002 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:18:06"
"2d0ba616-f35b-416e-ac94-5dc859c2f111","","1201541020504300661660001","NONE","Stand 1201541020504300661660001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-16:01:23"
"2d0bfa00-8410-47cd-af20-ea72506aabd7","","1200753050505700919060001","NONE","Stand 1200753050505700919060001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:17:35"
"2d102a5d-b361-44d5-a713-8c62415d7c87","","1201553060405300650720001","NONE","Stand 1201553060405300650720001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-16:02:59"
"2d158fac-a5c3-495d-83a9-27273c2c9526","","1200653050506700676750002","NONE","Stand 1200653050506700676750002 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:17:02"
"2d295403-5c5a-4181-ab8f-79fdb0be783c","","1201341060401100836880002","NONE","Stand 1201341060401100836880002 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:24:02"
"2d2a8ace-46f8-41a5-a1fb-bdece0e35e4d","","1201541060601900954210001","NONE","Stand 1201541060601900954210001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-16:01:45"
"2d31dbcf-67c8-412b-8740-04f3cba0015e","","1201441060506700538870002","NONE","Stand 1201441060506700538870002 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:28:24"
"2d3b9e5a-b0af-4763-aa70-6d4757d16cc4","","1201441020403900909830001","NONE","Stand 1201441020403900909830001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:58:38"
"2d3bd274-d1e2-4401-a43e-d0c41ee0af9a","","1200741050803900945460001","NONE","Stand 1200741050803900945460001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:17:22"
