"CaseID","StandID","Year","SP1","SP2","BA_FT1","BA_FT2","PERBA1","PREBA2"
"64e011f3-9e6a-4a5b-b803-d0eb5f7368ad","1201041060100700506140001",2014,19.00,0.00,234.86,265.85,0.88,1.00
"5fb25551-c481-40d4-8bb5-ebde58df706c","1201041060100700514660001",2014,22.00,0.00,168.66,217.86,0.77,1.00
"ad2d98f5-9ef7-4f27-90b3-1355909f5dd1","1201041060100700514660002",2014,16.00,0.00,141.41,150.15,0.94,1.00
"2e5f2cb4-2ea3-4033-a5b2-20529e1e38dd","1201041060100700521410001",2014,16.00,22.00,71.96,19.73,0.78,0.21
"530c43ff-60cc-4a59-bb96-a5b423df7711","1201041060100700527760001",2014,16.00,0.00,193.91,216.13,0.89,0.99
"46e4eb74-dc27-402a-8686-55f88d5642a1","1201041060100700610750001",2014,19.00,0.00,271.02,338.10,0.80,1.00
"d37f3f19-d7d8-4e19-913d-9ae11f860e33","1201041060100700699600002",2014,19.00,16.00,100.34,25.58,0.65,0.16
"eba3bf91-9f9f-46bb-9c97-a070bfd8b286","1201041060100700829600001",2014,16.00,0.00,8.61,8.61,1.00,1.00
"584e8c5e-2e5c-443a-ba2b-2c2ffa2e1bba","1201041060100700891520001",2014,16.00,0.00,52.46,78.48,0.66,0.99
"5efe757b-3c40-4765-bde8-6eec6105611b","1201041060100900606940001",2014,16.00,0.00,125.65,133.15,0.94,1.00
"3f7c5a8e-65d0-4b52-84a7-9611c84b4082","1201041060100900660600001",2014,16.00,0.00,36.50,36.50,1.00,1.00
"d3f06eeb-5c61-4a5d-865b-f6d2c1c849de","1201041060100900723450001",2014,16.00,18.00,207.10,22.46,0.75,0.08
"174635c8-698f-4649-aa89-9a044098f3f4","1201041060100900805870001",2014,22.00,16.00,62.62,9.45,0.55,0.08
"01c26b9c-173d-411c-86e6-8e93af876ff4","1201041060100900805870002",2014,0.00,0.00,0.00,0.00,,
"0ca693f0-9180-47d5-a049-936b7e20a2f7","1201041060100900939820001",2014,16.00,16.00,122.45,122.45,0.97,0.97
"1edc5ae7-084e-494a-863b-13a82473b585","1201041060101100540300001",2014,16.00,21.00,83.47,114.50,0.38,0.52
"8d0a047f-b473-4ca4-834e-b3b812e53dd2","1201041060101100540300002",2014,16.00,0.00,42.43,82.76,0.51,1.00
"80ac23f6-a1cb-426c-9dcf-18b897f89f8a","1201041060101100640530001",2014,16.00,0.00,118.72,204.71,0.57,0.99
"073d36b0-887e-4c7d-aeec-e23072b20d2d","1201041060101100728090001",2014,16.00,0.00,161.22,195.67,0.82,0.99
"c773e7b2-7d0d-4bed-91e1-42d1ab3c4d57","1201041060101100728860001",2014,16.00,0.00,211.11,247.76,0.85,0.99
"59f2dcf7-c667-4e60-856e-751a2840193b","1201041060101100746380001",2014,22.00,0.00,103.92,125.63,0.82,1.00
"17a459b4-7140-412c-a246-acceb3676f2e","1201041060101100760690001",2014,0.00,0.00,0.00,0.00,,
"575789a1-1114-418e-b24d-bf064ae9105c","1201041060101100863870001",2014,6.00,0.00,104.95,170.67,0.61,1.00
"13852b32-a8a9-4ea7-a5e8-b6d7d2a9dddc","1201041060101100923400001",2014,22.00,0.00,121.54,176.92,0.68,1.00
"4c0554ce-388f-441c-8f0b-0c89f0e9b5de","1201041060101100968920001",2014,16.00,19.00,168.62,68.76,0.62,0.25
"a2b49f9f-14fb-4fe7-991f-f35507384d66","1201041060101900502730001",2014,9.00,9.00,87.67,87.67,0.82,0.82
"420a58be-7534-42df-b5b1-379b8f3f23ce","1201041060101900552540001",2014,16.00,16.00,193.45,193.45,1.00,1.00
"928e2a44-697b-4b09-9eb4-fe3df0230f38","1201041060101900556480001",2014,16.00,0.00,90.20,90.20,0.99,0.99
"307d867d-4d49-4691-858d-1ca49cd42c52","1201041060101900566060001",2014,19.00,19.00,137.53,137.53,0.39,0.39
"2f86071f-9a7e-4506-8238-d9ee7f4f81fe","1201041060101900569740001",2014,16.00,0.00,213.82,213.82,1.00,1.00
"01a28a12-66be-436f-811a-6dbed1564433","1201041060101900591190001",2014,16.00,0.00,76.59,106.10,0.72,1.00
"5cc8e466-5f91-4e9b-bdba-ee28a53c576a","1201041060101900646250001",2014,22.00,0.00,27.06,82.15,0.32,1.00
