Stand_CN,Stand_ID,Variant
128059,8940,PN
128059,8950,PN
128059,8967,PN
128059,8976,PN
128059,9023,PN
128059,9024,PN
128059,9362,PN
128059,9414,PN
128059,9429,PN
128059,9440,PN
128059,9446,PN
128059,9477,PN
128094,10390,PN
128094,10455,PN
128094,10473,PN
128156,10013,PN
128156,5513,PN
128156,5739,PN
128156,6076,PN
128199,7796,WC
128333,1807,PN
128333,2949,PN
128333,3294,PN
128333,3587,PN
128333,4848,PN
128376,1337,PN
128434,5073,PN
128482,6314,WC
128482,6351,WC
128492,3515,PN
128552,10616,PN
128552,4561,PN
128552,9797,PN
128582,8743,PN
128584,1568,PN
128584,1580,PN
128584,1740,PN
128584,1741,PN
128584,1842,PN
128584,1922,PN
128584,2068,PN
128584,2165,PN
128584,2196,PN
128686,10046,PN
128686,10366,PN
128686,9986,PN
128738,7433,WC
128758,3916,PN
128758,4419,PN
128767,9487,WC
128767,9505,WC
128767,9537,WC
128767,9579,WC
128767,9582,WC
128767,9587,WC
128767,9593,WC
128767,9594,WC
128791,1096,PN
128791,1122,PN
128791,1134,PN
128791,1145,PN
128791,1168,PN
128791,1496,PN
128865,10317,PN
128865,4555,PN
128865,4562,PN
128865,9375,PN
128865,9432,PN
128865,9445,PN
129078,9011,PN
1291,6966,PN
1291,7192,PN
1291,7227,PN
1291,7291,PN
129152,7530,WC
129239,6036,PN
129262,5628,PN
129267,6802,PN
129267,6832,PN
129288,1099,PN
129288,1139,PN
129288,1161,PN
129288,1176,PN
129288,8944,PN
129308,8876,PN
129308,8910,PN
129308,8955,PN
129308,9160,PN
129308,9189,PN
129341,468,PN
129412,1187,PN
129522,9027,PN
129522,9351,PN
129522,9388,PN
129522,9422,PN
129522,9423,PN
129522,9460,PN
129525,4614,PN
129525,4745,PN
129525,4752,PN
129525,7858,PN
129525,8044,PN
129525,8444,PN
129525,8452,PN
129525,8744,PN
129525,8790,PN
129535,10556,PN
129535,10618,PN
129535,11264,PN
129535,11267,PN
129535,11274,PN
129535,11276,PN
129535,11288,PN
129535,11295,PN
129535,11297,PN
129535,11312,PN
129562,398,PN
129562,596,PN
129580,132,PN
129594,6349,WC
129596,3270,PN
129652,10948,PN
129652,10964,PN
129658,1207,PN
129658,1263,PN
129792,10042,PN
129792,9306,PN
129809,2747,PN
129809,5193,PN
129809,5370,PN
129816,5508,PN
129816,5608,PN
129816,5612,PN
129816,5663,PN
129816,5717,PN
129816,5747,PN
129816,5778,PN
129816,5787,PN
129816,5846,PN
129816,5857,PN
129816,5945,PN
129816,5976,PN
129816,6035,PN
129816,6039,PN
129816,6056,PN
129816,6066,PN
129816,6070,PN
129816,6150,PN
129816,6193,PN
129816,6258,PN
129816,6269,PN
129948,10224,PN
129948,10241,PN
130017,8848,PN
130017,8879,PN
130017,9016,PN
130017,9035,PN
130044,1920,PN
130044,3106,PN
130044,3245,PN
130044,3354,PN
130044,3647,PN
130044,3727,PN
130071,8868,PN
130071,9535,PN
130095,10219,PN
130095,10281,PN
130103,554,PN
130103,560,PN
130103,563,PN
130103,564,PN
130188,4550,PN
130190,10728,PN
130336,1905,PN
130336,8443,PN
130394,6301,WC
130394,6325,WC
130394,6352,WC
130394,6400,WC
130478,169,PN
130478,173,PN
130485,238,PN
130485,3963,PN
130485,4093,PN
130485,4136,PN
130485,4349,PN
130485,4421,PN
1305,518,PN
1305,525,PN
1305,681,PN
1305,701,PN
1305,755,PN
130528,10517,PN
130528,10529,PN
130528,10571,PN
130528,10577,PN
130528,10611,PN
130528,10639,PN
130580,10748,PN
130580,10773,PN
130580,10814,PN
130580,10826,PN
130580,10834,PN
130580,1465,PN
130580,8998,PN
130580,9349,PN
130580,9354,PN
130580,9384,PN
130580,9436,PN
130580,9493,PN
130600,4062,PN
130762,6474,PN
130762,6526,PN
130762,6546,PN
130762,6561,PN
130762,6582,PN
130762,6586,PN
130794,2859,PN
130794,2862,PN
130794,2904,PN
130794,2908,PN
130794,2911,PN
130794,2936,PN
130794,3012,PN
130794,3046,PN
130794,3099,PN
130794,3116,PN
130794,3143,PN
130794,3151,PN
130794,3173,PN
130794,3180,PN
130794,3195,PN
130794,3277,PN
130794,3371,PN
130794,3381,PN
130794,3382,PN
130794,3386,PN
130794,3420,PN
130794,3451,PN
130794,3503,PN
130794,3635,PN
130794,3636,PN
130794,4878,PN
130794,4890,PN
130794,833,PN
130842,1199,PN
130845,2856,PN
130845,2991,PN
130845,3073,PN
130845,3410,PN
130845,3816,PN
130845,3840,PN
130845,837,PN
130865,1264,PN
130972,1812,PN
130972,1859,PN
130972,1873,PN
130972,1987,PN
130972,1999,PN
130972,2063,PN
130972,2139,PN
130972,2153,PN
130972,2244,PN
130972,2260,PN
130972,2284,PN
130972,2334,PN
130972,3633,PN
130972,574,PN
130972,592,PN
130972,603,PN
130980,6437,PN
130980,6477,PN
130980,6521,PN
131025,10052,PN
131025,5221,PN
131025,5386,PN
131025,9906,PN
131025,9914,PN
131025,9949,PN
131025,9999,PN
131094,1116,PN
131094,1153,PN
131094,1182,PN
131094,9069,PN
131191,10015,PN
131191,10115,PN
131191,10162,PN
131191,10171,PN
131191,10184,PN
131191,10265,PN
131191,10309,PN
131191,10357,PN
131191,10558,PN
131191,9680,PN
131191,9786,PN
131191,9787,PN
131191,9827,PN
131195,16,PN
131195,58,PN
131195,59,PN
13120,6464,WC
13120,6467,WC
13120,6615,WC
13120,6642,WC
13120,6702,WC
13120,6716,WC
13120,6732,WC
131210,5768,PN
131210,5806,PN
131210,5922,PN
131210,5978,PN
131210,6113,PN
131210,6128,PN
131210,6131,PN
131210,6205,PN
131210,6223,PN
131210,6270,PN
13122,6674,WC
13122,6705,WC
131261,387,PN
131367,735,PN
131426,1692,PN
131426,1746,PN
131426,2283,PN
131426,2354,PN
131426,3194,PN
131426,4817,PN
13145,6621,WC
13145,6719,WC
131545,9611,PN
131551,10031,PN
131551,10036,PN
131551,2731,PN
131551,5466,PN
131551,5904,PN
131551,6233,PN
131551,9915,PN
131551,9944,PN
131551,9960,PN
131551,9961,PN
131551,9988,PN
131553,2751,PN
131553,2754,PN
131553,5503,PN
131553,5635,PN
131553,5752,PN
131566,2885,PN
131566,3226,PN
131566,3243,PN
131566,3429,PN
131566,807,PN
131566,814,PN
131566,817,PN
131566,835,PN
131566,875,PN
131604,10694,PN
131604,10740,PN
131604,10786,PN
131610,5818,PN
131610,5885,PN
131610,6151,PN
131628,9557,PN
131628,9592,PN
131726,10037,PN
131726,10168,PN
131726,10190,PN
131726,10295,PN
131726,10513,PN
131726,10536,PN
131726,10540,PN
131726,10586,PN
131726,10589,PN
131726,10590,PN
131726,10605,PN
131726,10606,PN
131726,10608,PN
131726,10613,PN
131726,10615,PN
131726,10623,PN
131726,10636,PN
131726,10656,PN
131726,10658,PN
131726,10659,PN
131726,10664,PN
131726,10665,PN
131726,10668,PN
131726,10670,PN
131726,10674,PN
131726,10688,PN
131726,10692,PN
131726,10705,PN
131726,10711,PN
131726,10723,PN
131726,10754,PN
131726,10758,PN
131726,10770,PN
131726,10777,PN
131726,10787,PN
131726,10798,PN
131726,10818,PN
131726,10823,PN
131726,10824,PN
131726,10830,PN
131744,5398,PN
131744,5644,PN
131744,5816,PN
131744,6245,PN
131830,4210,PN
131860,11260,PN
131860,11307,PN
131860,11311,PN
131860,578,PN
131860,906,PN
131860,912,PN
131860,9167,PN
131860,923,PN
131889,4611,PN
131936,3982,PN
131936,4174,PN
131949,5621,PN
131949,5892,PN
132010,1111,PN
132010,1127,PN
132010,1164,PN
132354,10920,WC
132380,2759,PN
132380,5453,PN
132380,5476,PN
132380,5483,PN
132380,5563,PN
132380,6263,PN
132380,9910,PN
132380,9955,PN
132398,1981,PN
132398,2110,PN
132398,2288,PN
132427,10888,WC
132427,10958,WC
132427,10976,WC
132427,10977,WC
132427,10981,WC
132427,10983,WC
132435,5706,PN
132448,10053,PN
132448,10084,PN
132448,10132,PN
132448,10538,PN
132448,10587,PN
132448,9405,PN
132448,9439,PN
132448,9998,PN
132509,10329,PN
132509,10342,PN
132509,1462,PN
132599,10951,WC
132599,10978,WC
132599,10979,WC
132649,7107,WC
132649,7108,WC
132649,7412,WC
132649,7413,WC
132649,7414,WC
132649,7432,WC
132649,7445,WC
132649,7447,WC
132649,7451,WC
132649,7457,WC
132649,7463,WC
132649,7467,WC
132649,7484,WC
132649,7495,WC
132649,7518,WC
132649,7531,WC
132649,7541,WC
132652,5963,PN
132682,9520,WC
132682,9550,WC
132682,9597,WC
132717,2675,PN
132717,6896,PN
132717,7089,PN
132717,7230,PN
132717,7316,PN
132717,7383,PN
132717,7387,PN
132728,1,PN
132728,48,PN
132728,5141,PN
132752,1086,PN
132752,9341,PN
132757,11202,WC
132761,7493,WC
132869,8985,PN
132869,9048,PN
132869,9182,PN
132965,9600,WC
132974,2850,PN
132974,2993,PN
132974,3034,PN
132974,3198,PN
132974,3222,PN
132974,3235,PN
132974,3259,PN
132974,3314,PN
132974,3331,PN
132974,3402,PN
132974,3557,PN
132974,3645,PN
132974,3657,PN
132974,3731,PN
132974,3790,PN
132974,3803,PN
132974,3809,PN
132993,1100,PN
132993,1101,PN
132993,1105,PN
132993,1109,PN
132993,1112,PN
132993,1123,PN
132993,1124,PN
132993,1125,PN
132993,1129,PN
132993,1149,PN
132993,1175,PN
132993,1181,PN
132993,1186,PN
132993,1259,PN
132993,9519,WC
133028,6315,WC
133043,1324,PN
133043,8873,PN
133043,9136,PN
133242,8880,PN
133242,8897,PN
133242,8919,PN
133242,8951,PN
133242,9005,PN
133242,9042,PN
133242,9044,PN
133242,9054,PN
133242,9081,PN
133242,9134,PN
133242,9194,PN
133271,5011,PN
133271,6772,PN
133283,888,PN
1333,376,PN
1333,7009,PN
1333,7024,PN
1333,7139,PN
133342,5596,PN
133342,5687,PN
133342,5903,PN
133342,5909,PN
133379,10501,PN
133458,1163,PN
133458,1273,PN
1335,2433,PN
1335,2446,PN
1335,2479,PN
1335,2541,PN
1335,2549,PN
1335,2565,PN
1335,2628,PN
1335,2629,PN
1335,2674,PN
1335,6899,PN
1335,6932,PN
1335,6958,PN
1335,7131,PN
1335,7271,PN
1335,7285,PN
1335,7355,PN
1335,7360,PN
133552,3446,PN
133585,11216,WC
133593,6338,WC
1337,483,PN
1337,503,PN
133740,1531,PN
133740,1536,PN
133740,1544,PN
133740,1545,PN
133740,1555,PN
133742,6478,PN
133742,6483,PN
133742,6534,PN
133760,215,PN
133760,256,PN
133760,4075,PN
133760,4089,PN
133760,4218,PN
133760,4267,PN
133760,4279,PN
133760,4295,PN
133760,4396,PN
133760,4532,PN
133781,11192,PN
133808,6326,WC
133808,6328,WC
133808,6372,WC
133808,6377,WC
133808,6394,WC
133810,10095,PN
133810,10575,PN
133827,2777,PN
133827,3599,PN
133827,3792,PN
133904,10552,PN
133904,5592,PN
133938,7513,WC
133938,7517,WC
134006,5855,PN
134049,7607,PN
134049,7611,PN
134049,7843,PN
134049,7847,PN
134049,7859,PN
134049,7863,PN
134049,7918,PN
134049,7940,PN
134049,7952,PN
134049,7953,PN
134049,7958,PN
134049,7961,PN
134049,7963,PN
134049,8134,PN
134049,8570,PN
134063,1569,PN
134063,1637,PN
134063,1649,PN
134063,1743,PN
134063,1803,PN
134063,1874,PN
134063,1930,PN
134063,2011,PN
134063,2038,PN
134063,2065,PN
134063,2104,PN
134063,2106,PN
134063,2124,PN
134063,2155,PN
134063,2169,PN
134063,2274,PN
134063,2772,PN
134063,2858,PN
134063,2900,PN
134063,2906,PN
134063,2916,PN
134063,3003,PN
134063,3057,PN
134063,3100,PN
134063,3112,PN
134063,3129,PN
134063,3187,PN
134063,3250,PN
134063,3272,PN
134063,3273,PN
134063,3279,PN
134063,3353,PN
134063,3368,PN
134063,3485,PN
134063,3508,PN
134063,3602,PN
134063,3672,PN
134063,4797,PN
134063,4807,PN
134063,4812,PN
134063,4814,PN
134063,4823,PN
134063,4824,PN
134063,4828,PN
134063,4883,PN
134063,4886,PN
134063,868,PN
134081,7003,PN
134081,7788,PN
1341,127,PN
1341,135,PN
1341,20,PN
1341,352,PN
1341,46,PN
1341,89,PN
134129,2721,PN
134129,2766,PN
134129,5239,PN
134129,5321,PN
134129,5342,PN
134129,5343,PN
134129,5352,PN
134129,5353,PN
134129,5390,PN
134129,5397,PN
134129,5403,PN
134129,5409,PN
134129,5418,PN
134129,5428,PN
134129,5464,PN
134129,5478,PN
134129,6008,PN
134129,6048,PN
134129,6246,PN
134189,9463,PN
134196,10155,PN
134196,9980,PN
1342,4393,PN
1342,6,PN
1342,81,PN
1342,98,PN
134202,1126,PN
134216,1113,PN
134328,1014,PN
134349,10200,PN
134349,10259,PN
134349,10336,PN
134349,10507,PN
134349,10508,PN
134349,10512,PN
134349,10518,PN
134349,10519,PN
134349,10526,PN
134349,10535,PN
134349,10539,PN
134349,10543,PN
134349,10555,PN
134349,10559,PN
134349,10560,PN
134349,10562,PN
134349,10568,PN
134349,10570,PN
134349,10574,PN
134349,10602,PN
134349,10603,PN
134349,10607,PN
134349,10624,PN
134349,10626,PN
134349,10627,PN
134349,10649,PN
134349,10652,PN
134349,8903,PN
134349,8994,PN
134349,9334,PN
134349,9335,PN
134349,9443,PN
134349,9485,PN
134349,9609,PN
134349,9610,PN
134349,9612,PN
134349,9613,PN
134358,10862,WC
134358,10889,WC
134358,10915,WC
134379,1143,PN
134379,1144,PN
134625,665,PN
134625,7830,PN
134625,7897,PN
134625,8000,PN
134625,8050,PN
134625,8070,PN
134625,8079,PN
134625,8139,PN
134625,8145,PN
134625,8162,PN
134625,8242,PN
134625,8257,PN
134625,8262,PN
134625,8285,PN
134625,8342,PN
134625,8369,PN
134625,8401,PN
134625,8464,PN
134625,8487,PN
134625,8504,PN
134625,8538,PN
134625,8556,PN
134625,8732,PN
134625,8761,PN
134625,8785,PN
134625,8835,PN
134625,8844,PN
134627,5716,PN
134648,1223,PN
134648,1335,PN
134724,5812,PN
134724,6255,PN
1348,104,PN
1348,109,PN
1348,2650,PN
1348,76,PN
134866,3873,PN
1349,414,PN
1349,460,PN
1349,475,PN
1349,479,PN
1349,485,PN
1349,500,PN
1349,501,PN
134933,185,PN
134933,4427,PN
134933,4471,PN
134946,1140,PN
134996,2763,PN
134996,5357,PN
134996,5365,PN
134996,5372,PN
134996,5415,PN
134996,5864,PN
134996,5960,PN
135063,5674,PN
135063,5740,PN
135063,6125,PN
135063,6162,PN
135063,6206,PN
135080,1236,PN
135080,1238,PN
135080,1266,PN
135080,1296,PN
135080,1310,PN
135080,1353,PN
135080,1445,PN
135080,1448,PN
135080,1450,PN
135080,1455,PN
135081,3319,PN
135081,3519,PN
135081,3541,PN
135081,3576,PN
135081,3666,PN
135106,538,PN
135106,571,PN
135106,582,PN
135106,584,PN
135106,586,PN
135106,602,PN
135106,612,PN
135130,249,PN
135130,3685,PN
135130,4048,PN
135130,4068,PN
135130,4156,PN
135130,4250,PN
135130,4261,PN
135130,4356,PN
135130,4534,PN
135223,2377,PN
135223,2379,PN
135223,2441,PN
135223,2447,PN
135223,2454,PN
135223,2456,PN
135223,2488,PN
135223,2503,PN
135223,2519,PN
135223,2542,PN
135223,2566,PN
135223,2574,PN
135223,2576,PN
135223,2581,PN
135223,2596,PN
135223,2648,PN
135223,6284,PN
135223,6289,PN
135223,636,PN
135223,653,PN
135223,6607,PN
135223,6891,PN
135223,6893,PN
135223,6913,PN
135223,6984,PN
135223,7017,PN
135223,7030,PN
135223,7054,PN
135223,7059,PN
135223,7081,PN
135223,7143,PN
135223,7156,PN
135223,7174,PN
135223,7176,PN
135223,7193,PN
135223,7219,PN
135223,7224,PN
135223,7253,PN
135223,7255,PN
135223,7262,PN
135223,7263,PN
135291,1473,PN
135291,1500,PN
135291,1502,PN
135291,1534,PN
135291,1538,PN
135291,5817,PN
135291,9235,PN
135291,9253,PN
135291,9280,PN
135291,9290,PN
135291,9304,PN
135291,9307,PN
135291,9332,PN
135336,6670,WC
135343,9377,PN
135429,4558,PN
135443,1183,PN
135506,1261,PN
135506,9559,PN
13552,3857,PN
13552,3862,PN
13552,3881,PN
135660,1082,PN
135660,8857,PN
135660,8913,PN
135660,8963,PN
135660,9046,PN
135660,9066,PN
135660,9073,PN
135660,9074,PN
135660,9108,PN
135660,9129,PN
135660,9154,PN
135660,9188,PN
135660,9214,PN
135660,9234,PN
135660,9240,PN
135660,9408,PN
135660,9435,PN
135739,10186,PN
135844,11438,PN
135945,2773,PN
135945,2810,PN
135945,2831,PN
135945,2840,PN
135945,2847,PN
135945,2913,PN
135945,2919,PN
135945,2925,PN
135945,2935,PN
135945,2971,PN
135945,2990,PN
135945,2999,PN
135945,3027,PN
135945,3128,PN
135945,3155,PN
135945,3161,PN
135945,3201,PN
135945,3246,PN
135945,3320,PN
135945,3329,PN
135945,3337,PN
135945,3347,PN
135945,3360,PN
135945,3362,PN
135945,3365,PN
135945,3374,PN
135945,3407,PN
135945,3447,PN
135945,3449,PN
135945,3514,PN
135945,3536,PN
135945,3568,PN
135945,3614,PN
135945,3660,PN
135945,3701,PN
135945,3706,PN
135945,3716,PN
135945,3722,PN
135945,3739,PN
135945,3760,PN
135945,3804,PN
135945,3810,PN
135945,3821,PN
135945,3825,PN
135945,4792,PN
135945,4830,PN
135945,4832,PN
135965,7698,WC
135965,7742,WC
135965,7748,WC
135965,7750,WC
135965,7756,WC
135965,7763,WC
135965,7784,WC
135965,7789,WC
135965,7793,WC
135965,7801,WC
135965,7835,WC
135985,7612,PN
135985,7699,PN
135985,7832,PN
135985,7839,PN
135985,7862,PN
135985,7881,PN
135985,7905,PN
135985,7914,PN
135985,7923,PN
135985,8007,PN
135985,8061,PN
135985,8131,PN
135985,8196,PN
135985,8200,PN
135985,8256,PN
135985,8547,PN
135994,10844,WC
135994,10855,WC
135994,10871,WC
135994,10876,WC
135994,10882,WC
135994,10911,WC
135994,10922,WC
135994,10942,WC
135994,10947,WC
135994,10950,WC
135994,10962,WC
136022,5757,PN
136022,6196,PN
136062,10261,PN
136112,188,PN
136129,1133,PN
136139,1643,PN
136139,1671,PN
136139,1690,PN
136139,1698,PN
136139,1739,PN
136139,1779,PN
136139,1814,PN
136139,1864,PN
136139,1926,PN
136139,1939,PN
136139,1984,PN
136139,2002,PN
136139,2094,PN
136139,2113,PN
136139,2221,PN
136139,2300,PN
136139,2832,PN
136139,2875,PN
136139,2910,PN
136139,3322,PN
136139,3499,PN
136139,3572,PN
136139,3709,PN
136139,3725,PN
136158,7605,PN
136158,7693,PN
136205,11258,PN
136205,11266,PN
136205,11268,PN
136205,11283,PN
136205,11296,PN
136205,11302,PN
136205,11306,PN
136205,11308,PN
136205,11314,PN
136223,10006,PN
136223,10028,PN
136223,10030,PN
136223,10047,PN
136223,10057,PN
136223,10064,PN
136223,10082,PN
