parcel,year,cumulative_mbf,npv_total,aboveground_total_live,aboveground_merch_live,belowground_live,standing_dead,forest_down_dead_wood,forest_floor,forest_shrub_herb,total_stand_carbon,total_removed_carbon,carbon_released_from_fire,products,landfill,energy,emissions,merch_carbon_stored,merch_carbon_removed,tcuft,mcuft,rtcuft,rmcuft,bdft,rbdft,nfv_total,total_undiscounted_cost,total_discounted_cost,discounted_revenue,undiscounted_revenue,rx
1,2084,51.03576237,8690.43312,38.49179711,26.94391237,8.394950873,0.301335923,2.609595208,6.108841686,0.216511797,61.15185154,0.22978937,0,20.42526023,17.25832773,20.59971634,23.30800537,37.6835881,81.59130946,4818.085439,4271.140536,36.16421017,34.90984009,7643.865302,159.017768,20768.70299,20087.37227,8405.391691,17100.01228,41499.66025,BAU
1,2089,51.2902233,8689.202253,48.77106415,35.9458258,10.59325388,1.068959476,2.700578484,6.275796919,0.198747568,73.94543483,0.39627528,0.059380401,19.00848058,17.94841516,20.95682435,24.05120379,36.95689578,81.96492336,6212.92683,5707.220036,60.58598866,57.13618749,20395.09388,254.4609189,20714.79453,20368.92454,8409.555689,17099.17388,41763.22096,BAU
1,2094,72.46186401,8869.770566,17.51346606,13.15144159,3.714259314,0.499010756,4.646472447,7.856799355,0.807274859,47.90491671,34.93543668,4.420381007,41.16909513,18.53875512,25.5983776,29.08456658,59.70785074,114.3907954,7547.632321,6987.472815,5297.734851,4918.470937,29439.5646,21171.64044,30428.90241,27525.95723,8550.990704,17417.94346,58666.33229,BAU
1,2099,77.80322816,8902.990459,10.98378722,7.909386469,2.056378464,0.303589087,4.037488554,6.002769493,0.950446592,37.14705705,9.125954485,1.318110319,40.88744666,21.51362712,28.16902976,32.14352421,62.40107383,122.7136285,2699.614824,2506.284643,1384.040376,1261.372908,10496.07476,5341.364227,32711.23716,29517.99885,8580.321181,17477.81247,62972.49255,BAU
1,2104,78.08096792,8902.501772,12.26581958,8.754428211,2.490883907,0.317200555,3.057363246,5.48083365,0.526353871,34.59214682,0.469091349,0.070103774,35.53058667,24.14327686,29.47785733,33.99788065,59.67386358,123.1496022,1596.430121,1443.135443,70.21225146,65.5074541,5953.019054,277.7397073,32666.37223,29807.64799,8582.218921,17477.02814,63250.82932,BAU
1,2109,78.34349396,8902.047333,15.35685644,9.548406554,3.331456127,0.318742278,2.502687914,5.420900334,0.245732865,35.7504274,0.537717701,0.08769745,31.85624588,25.94260563,30.37364134,35.44475551,57.79885164,123.6172493,1974.155512,1570.734901,75.36842372,68.11381674,6668.677045,262.5260513,32613.832,30092.19606,8583.605639,17476.13639,63514.98827,BAU
2,2014,35.71117628,15102.69278,2.507065227,1.566217479,0.5831137,0.010568707,8.835964387,5.570591827,1.011703296,33.65805867,52.02247013,7.369268701,34.76871094,0,6.94386538,6.726655847,34.76871094,48.43923216,7982.058976,7622.052743,7674.147944,7365.767085,36711.99167,35736.76552,16396.47349,11809.47181,11760.25198,26867.90113,28211.29788,BAU
2,2019,35.71117628,14978.28652,5.296179971,2.465742018,0.866979411,0.016175805,6.638656305,4.535853596,0.966878903,30.50633881,0,0,27.15045349,3.720552643,8.800492401,8.767731834,30.87100645,48.43923033,452.5976465,399.9200604,0,0,1323.935294,0,16221.82078,11984.84938,11884.49109,26866.83953,28212.3567,BAU
2,2024,36.02722396,14947.19671,6.295877691,3.089427656,1.468259946,0.03103755,5.176949085,4.740140745,0.355927741,27.99582738,0.464199764,0.183870721,22.58926178,6.051019449,10.02978717,10.21447058,28.6402815,48.88453925,786.945887,570.0137519,74.63677782,71.60550074,1971.422786,316.0476843,16165.70834,12268.70216,12048.12011,26998.67373,28440.61146,BAU
2,2029,36.43907992,14954.21672,10.70447556,3.442812303,2.576457054,0.148804624,4.310807458,4.640328696,0.206328505,30.78616608,0.659777727,0.206337037,19.83156775,7.551987536,10.85117865,11.27905721,27.38355553,49.51379129,1301.760377,656.4428823,100.3941638,95.83332867,2550.46787,411.8559689,16179.60539,12585.41424,12192.05417,27150.65651,28775.51516,BAU
