"standid","parcelid","acres","core","fl","fm","fs","nl","nm","ns","sm","ss","wa_inner","wa_outer","fsc","parcelacres","fsccore","baucore","nonrip_fsc","nonrip_bau","baurip_nc","state"
"1605",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1606",53,"3.7","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","3.66","3.66","0","OR"
"1607",53,"0.6","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","0.57","0.57","0","OR"
"1608",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1609",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1610",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1611",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1612",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1613",53,"1.6","0.18","0","0.18","0","0","0","0","0","0","0","0","0.18","3669","0.36","0.18","1.24","1.24","0.36","OR"
"1614",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1615",53,"4.6","0.49","0","0.49","0","0","0","0","0","0","0","0","0.49","3669","0.98","0.49","3.64","3.64","0.98","OR"
"1616",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1617",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1618",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1619",53,"0.5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","0.47","0.47","0","OR"
"1620",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1621",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1622",53,"5","0.02","0","0","0","0","0","0","0","0","0","0","0","3669","0.02","0.02","4.98","4.98","0.02","OR"
"1623",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1624",53,"0","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","0","0","0","OR"
"1625",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1626",53,"5","0.02","0","0","0","0","0","0","0","0","0","0","0","3669","0.02","0.02","4.98","4.98","0.02","OR"
"1627",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1628",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1629",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1630",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1631",53,"0.1","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","0.09","0.09","0","OR"
"1632",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1633",53,"5","0.48","0","0.29","0","0","0","0","0","0","0","0","0.29","3669","0.77","0.48","4.22","4.22","0.77","OR"
"1634",53,"1.1","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","1.12","1.12","0","OR"
"1635",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1636",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1637",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1638",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1639",53,"4.7","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","4.73","4.73","0","OR"
"1640",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1641",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1642",53,"0.3","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","0.34","0.34","0","OR"
"1643",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1644",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1645",53,"5","0.43","0","0.43","0","0","0","0","0","0","0","0","0.43","3669","0.85","0.43","4.14","4.14","0.85","OR"
"1646",53,"4.7","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","4.73","4.73","0","OR"
"1647",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1648",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1649",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1650",53,"1.3","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","1.33","1.33","0","OR"
"1651",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1652",53,"5","0.66","0","0.38","0","0","0","0","0","0","0","0","0.38","3669","1.04","0.66","3.96","3.96","1.04","OR"
"1653",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1654",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1655",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1656",53,"5","0.42","0","0.03","0","0","0","0","0","0","0","0","0.03","3669","0.44","0.42","4.56","4.56","0.44","OR"
"1657",53,"5","0.26","0","0.26","0","0","0","0","0","0","0","0","0.26","3669","0.52","0.26","4.48","4.48","0.52","OR"
"1658",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","4.99","4.99","0","OR"
"1659",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1660",53,"5","0.39","0","0.39","0","0","0","0","0","0","0","0","0.39","3669","0.78","0.39","4.21","4.21","0.78","OR"
"1661",53,"4.2","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","4.18","4.18","0","OR"
"1662",53,"2.7","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","2.74","2.74","0","OR"
"1663",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1664",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1665",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1666",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1667",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1668",53,"5","0.41","0","0.34","0","0","0.08","0","0","0","0","0","0.41","3669","0.82","0.41","4.17","4.17","0.82","OR"
"1669",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1670",53,"4.5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","4.54","4.54","0","OR"
"1671",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1672",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1673",53,"4.8","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","4.78","4.78","0","OR"
"1674",53,"4.6","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","4.58","4.58","0","OR"
"1675",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1676",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1677",53,"4.7","0.38","0.27","0","0","0","0","0","0","0","0","0","0.27","3669","0.65","0.38","4.08","4.08","0.65","OR"
"1678",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1679",53,"0.2","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","0.23","0.23","0","OR"
"1680",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1681",53,"5","0.16","0","0.16","0","0","0","0","0","0","0","0","0.16","3669","0.33","0.16","4.67","4.67","0.33","OR"
"1682",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1683",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1684",53,"5","0.02","0","0","0","0","0","0","0","0","0","0","0","3669","0.02","0.02","4.98","4.98","0.02","OR"
"1685",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1686",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1687",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1688",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1689",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1690",53,"2.1","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","2.05","2.05","0","OR"
"1691",53,"1.8","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","1.83","1.83","0","OR"
"1692",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1693",53,"5","0.46","0","0.46","0","0","0","0","0","0","0","0","0.46","3669","0.93","0.46","4.07","4.07","0.93","OR"
"1694",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1695",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1696",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1697",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1698",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1699",53,"5","0.62","0.25","0.25","0","0","0","0","0","0","0","0","0.5","3669","1.13","0.62","3.87","3.87","1.13","OR"
"1700",53,"0.1","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","0.09","0.09","0","OR"
"1701",53,"3.5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","3.5","3.5","0","OR"
"1702",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1703",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1704",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1705",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1706",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1707",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1708",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1709",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1710",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1711",53,"4.6","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","4.59","4.59","0","OR"
"1712",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1713",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1714",53,"2.3","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","2.34","2.34","0","OR"
"1715",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1716",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1717",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1718",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1719",53,"0.7","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","0.71","0.71","0","OR"
"1720",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1721",53,"5","0.21","0","0.21","0","0","0","0","0","0","0","0","0.21","3669","0.42","0.21","4.57","4.57","0.42","OR"
"1722",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1723",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1724",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1725",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1726",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1727",53,"5","0.46","0","0","0.46","0","0","0","0","0","0","0","0.46","3669","0.92","0.46","4.05","4.05","0.92","OR"
"1728",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1729",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1767",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1768",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1769",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1770",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1771",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1772",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1773",53,"5","0.47","0","0.47","0","0","0","0","0","0","0","0","0.47","3669","0.93","0.47","4.06","4.06","0.93","OR"
"1774",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1775",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","4.99","4.99","0","OR"
"1776",53,"1.9","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","1.92","1.92","0","OR"
"1777",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1778",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1779",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1780",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1781",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1782",53,"5","0.51","0","0.51","0","0","0","0","0","0","0","0","0.51","3669","1.01","0.51","3.98","3.98","1.01","OR"
"1783",53,"5","0.47","0","0.47","0","0","0","0","0","0","0","0","0.47","3669","0.94","0.47","4.06","4.06","0.94","OR"
"1784",53,"2.8","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","2.81","2.81","0","OR"
"1785",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1786",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1787",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1788",53,"5","0.5","0","0.5","0","0","0","0","0","0","0","0","0.5","3669","1","0.5","3.98","3.98","1","OR"
"1789",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1790",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1791",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1792",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1793",53,"5","0.29","0","0","0","0","0.26","0","0","0","0","0","0.26","3669","0.54","0.29","4.45","4.45","0.54","OR"
"1794",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1795",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1796",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1797",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1798",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1799",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1800",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1801",53,"0.1","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","0.06","0.06","0","OR"
"1802",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1803",53,"5","0.47","0","0.21","0","0","0","0","0","0","0","0","0.21","3669","0.68","0.47","4.32","4.32","0.68","OR"
"1804",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1805",53,"5","0.06","0","0.06","0","0","0","0","0","0","0","0","0.06","3669","0.12","0.06","4.87","4.87","0.12","OR"
"1806",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1807",53,"3.2","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","3.21","3.21","0","OR"
"1808",53,"3","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","2.97","2.97","0","OR"
"1809",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1810",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
