"standid","conv_yr"
"1042",2024
"10420",2014
"10421",2014
"10422",2014
"10423",2034
"10424",2014
"10425",2014
"10426",2014
"10427",2014
"10428",2014
"10429",2014
"1043",2014
"10430",2014
"10431",2014
"10432",2014
"10433",2014
"10434",2014
"10435",2014
"10436",2014
"10437",2014
"10438",2034
"10439",2014
"1044",2044
"10440",2014
"10441",2014
"10442",2014
"10443",2014
"10444",2034
"10445",2014
"10446",2014
"10447",2019
"10448",2014
"10449",2014
"1045",2014
"10450",2014
"10451",2014
"10452",2014
"10453",2014
"10454",2039
"10455",2014
"10456",2014
"10457",2014
"10458",2014
"10459",2014
"1046",2014
"10460",2014
"10461",2014
"10462",2014
"10463",2014
"10464",2014
"10465",2014
"10466",2034
"10467",2014
"10468",2014
"10469",2014
"1047",2014
"10470",2014
"10471",2019
"10472",2014
"10473",2014
"10474",2014
"10475",2014
"10476",2014
"10477",2014
"10478",2014
"10479",2014
"1048",2014
"10480",2014
"10481",2014
"10482",2014
"10483",2014
"10484",2014
"10485",2014
"10486",2014
"10487",2014
"10488",2014
"10489",2014
"1049",2014
"10490",2014
"10491",2014
"10492",2014
"10493",2014
"10494",2014
"10495",2014
"10496",2014
"10497",2014
"10498",2014
"10499",2014
"105",2019
"1050",2014
"10500",2014
"10501",2014
"10502",2014
"10503",2014
"10504",2014
"10505",2014
"10506",2014
"10507",2049
"10508",2049
"10509",2014
"1051",2014
"10510",2019
"10511",2014
"10512",2049
"10513",2014
"10514",2014
"10515",2019
"10516",2069
"10517",2014
"10518",2049
"10519",2049
"1052",2014
"10520",2014
"10521",2014
"10522",2014
"10523",2014
"10524",2014
"10525",2014
"10526",2049
"10527",2014
"10528",2014
"10529",2014
"1053",2044
"10530",2014
"10531",2019
"10532",2014
"10533",2029
"10534",2014
"10535",2049
"10536",2014
"10537",2054
"10538",2014
"10539",2049
"1054",2014
"10540",2014
"10542",2014
"10543",2049
"10544",2014
"10545",2014
"10546",2014
"10547",2014
"10548",2014
"10549",2029
"1055",2014
"10550",2014
"10551",2014
"10552",2014
"10553",2019
"10554",2059
"10555",2049
"10556",2014
"10557",2014
"10558",2014
"10559",2049
"1056",2014
"10560",2049
"10561",2014
"10562",2049
"10563",2014
"10564",2044
"10565",2014
"10566",2014
"10567",2014
"10568",2049
"10569",2014
"1057",2014
"10570",2049
"10571",2014
"10572",2014
"10573",2014
"10574",2049
"10575",2014
"10576",2069
"10577",2014
"10578",2014
"10579",2014
"1058",2034
"10580",2014
"10581",2014
"10582",2014
"10583",2014
"10584",2059
"10585",2044
"10586",2014
"10587",2014
"10588",2014
"10589",2014
"1059",2014
"10590",2014
"10591",2014
"10592",2059
"10593",2014
"10594",2014
"10595",2014
"10596",2014
"10597",2014
"10599",2014
"106",2014
"1060",2014
"10600",2014
"10601",2014
"10602",2049
"10603",2049
"10604",2014
"10605",2014
"10606",2014
"10607",2044
"10608",2014
"10609",2014
"1061",2014
"10610",2039
"10611",2054
"10612",2014
"10613",2014
"10614",2039
"10615",2014
"10616",2014
"10617",2014
"10618",2014
"10619",2039
"1062",2014
"10620",2044
"10621",2039
"10622",2014
"10623",2014
"10624",2039
"10625",2014
"10626",2039
"10627",2039
"10628",2014
"10629",2014
"1063",2014
"10631",2039
"10632",2014
"10633",2039
"10634",2014
"10635",2014
"10636",2014
"10637",2049
"10638",2039
"10639",2044
"1064",2014
"10640",2014
"10641",2014
"10642",2014
"10643",2014
"10644",2014
"10645",2014
"10646",2014
"10648",2014
"10649",2044
"1065",2014
"10650",2014
"10651",2014
"10652",2034
"10653",2014
"10654",2014
"10655",2014
"10656",2014
"10657",2014
"10658",2014
"10659",2014
"1066",2014
"10660",2014
"10663",2014
"10664",2014
"10665",2014
"10668",2014
"1067",2014
"10670",2014
"10672",2014
"10673",2014
"10674",2014
"10675",2014
"10676",2014
"10678",2019
"10679",2014
"1068",2014
"10680",2014
"10681",2014
"10683",2014
"10684",2014
"10686",2014
"10688",2014
"10689",2014
"1069",2039
"10691",2014
"10692",2014
"10694",2014
"10696",2014
"10697",2014
"10698",2014
"10699",2014
"107",2014
"1070",2014
"10700",2014
"10701",2014
"10702",2014
"10703",2014
"10705",2014
"10706",2014
"10707",2014
"10708",2014
"10709",2014
"1071",2014
"10711",2014
"10712",2014
"10713",2014
"10714",2014
"10715",2014
"10716",2014
"10717",2014
"10718",2014
"1072",2014
"10720",2014
"10722",2014
"10723",2014
"10724",2014
"10725",2014
"10728",2014
"10729",2014
"1073",2014
"10734",2014
"10738",2014
"10739",2014
"10740",2014
"10744",2014
"10745",2014
"10747",2014
"10748",2014
"10749",2014
"1075",2014
"10750",2014
"10752",2014
"10754",2014
"10758",2014
"1076",2039
"10760",2014
"10761",2014
"10762",2014
"10763",2014
"10765",2019
"10767",2014
"10768",2014
"10769",2019
